ar,bs-Latn,bg,ca,zh-CHS,zh-CHT,hr,cs,da,nl,en,et,fi,fr,de,el,ht,he,hi,mww,hu,id,it,ja,sw,tlh,tlh-Qaak,ko,lv,lt,ms,mt,yua,no,otq,fa,pl,pt,ro,ru,sr-Cyrl,sr-Latn,sk,sl,es,sv,th,tr,uk,ur,vi,cy
أحد عشر,jedanaest,единадесет,onze,十一,十一,jedanaest,jedenáct,elleve,elf,eleven,üksteist,yksitoista,onze,elf,έντεκα,onz,11,ग्यारह,kaum ib,tizenegy,sebelas,undici,11,kumi na moja,eleven,,11,vienpadsmit,vienuolika,sebelas,ħdax-il,once,elleve,ma 'na,یازده,jedenaście,onze,unsprezece,Одиннадцать,једанаест,jedanaest,jedenásť,enajst,once,elva,สิบเอ็ด,Onbir,одинадцять,گیارہ,mười một,un ar ddeg o
اثنا عشر,Dvanaest,дванадесет,dotze,十二,十二,dvanaest,dvanáct,tolv,twaalf,twelve,kaksteist,kaksitoista,douze,zwölf,δώδεκα,douz,12,बारह,kaum ob,tizenkét,dua belas,dodici,12,kumi na wawili,wa'maHcha',,12,divpadsmit,dvylika,dua belas,tnax-il,doce,tolv,'re̲t'a ma yoho,دوازده,dwanaście,doze,doisprezece,Двенадцать,Дванаест,Dvanaest,dvanásť,dvanajst,doce,tolv,สิบสอง,on iki,дванадцять,بارہ,mười hai,deuddeg
الثالثة عشرة,Trinaest godina,тринадесет,tretze,十三,十三,trinaest,třináct,tretten,dertien,thirteen,kolmteist,kolmetoista,treize ans,dreizehn,δεκατρείς,trèz,שלוש עשרה,तेरह,kaum peb,tizenhárom,tiga belas,tredici anni,13,kumi natatu,thirteen,,13,trīspadsmit,trylika,tiga belas,tlettax,láat'ab,tretten,'re̲t'a ma hñu,سیزده,trzynastu,Treze,treisprezece,Тринадцать,-13,-13,trinásť,trinajst,trece,tretton,สิบสาม,On üç,тринадцять років,تیرہ,mười ba,tri ar ddeg
أربعة عشر,Četrnaest,четиринадесет,catorze,十四,十四,Četrnaest,čtrnáct,fjorten,veertien,fourteen,Neliteist,neljätoista,quatorze,vierzehn,δεκατέσσερα,katòz,ארבע עשרה,चौदह,kaum plaub,tizennégy,empat belas,quattordici,14,kumi na nne,fourteen,,14,četrpadsmit,keturiolika,masa empat belas,erbatax-il,catorce,fjorten,catorce,چهارده,czternaście,catorze,paisprezece,Четырнадцать,четрнаест,četrnaest,štrnásť,štirinajst,catorce,fjorton,สิบสี่,on dört,чотирнадцять,چودہ,mười bốn,pedwar ar ddeg o
خمسة عشر,petnaest,петнадесет,quinze,十五,十五,petnaest,patnáct,femten,vijftien,fifteen,viisteist,15,quinze,fünfzehn,δεκαπέντε,kenz,15,पंद्रह,kaum tsib,tizenöt,lima belas,quindici,15,kumi na tano,fifteen,,15,piecpadsmit,penkiolika,lima belas,ħmistax-il,quince,femten,'re̲t'a ma ku̲t'a,پانزده,piętnaście,quinze,cincisprezece,Пятнадцать,Петнаест,Petnaest,pätnásť,petnajst,quince,femton,สิบห้า,on beş,п'ятнадцять,پندرہ,mười lăm,pymtheg
ستة عشر,Šesnaest,шестнадесет,setze,十六,十六,šesnaest,šestnáct,seksten,zestien,sixteen,kuusteist,kuusitoista,seize,sechzehn,δεκαέξι,sèz,16,सोलह,kaum rau,tizenhat,enam belas,sedici,16,kumi na sita,sixteen,,16,sešpadsmit,šešiolika,enam belas,sittax-il,16,seksten,16,شانزده,szesnaście,dezesseis,şaisprezece,Шестнадцать,Шеснаест,Šesnaest,šestnásť,šestnajst,16,sexton,สิบหก,on altı,шістнадцять,سولہ,mười sáu,un ar bymtheg o
سبعة عشر,Sedamnaest,седемнадесет,disset,十七岁,十七歲,sedamnaest,sedmnáct,sytten,zeventien,seventeen,seitseteist,seitsemäntoista,dix-sept ans,siebzehn,δεκαεπτά,disèt,בת 17,सत्रह,kaum xya,tizenhét,tujuh belas,diciassette anni,17 歳,seventeen,: wa'maH Soch,:  ,17,septiņpadsmit gadu,septyniolika,tujuh belas,sbatax-il,diecisiete ja'ab,sytten,diecisiete ya je̲ya,هفده,siedemnaście,dezessete anos,şaptesprezece ani,Семнадцать,Седамнаест,Sedamnaest,sedemnásť,sedemnajst,diecisiete años,sjutton,seventeen,on yedi,сімнадцять років,سترہ,mười bảy,dau ar bymtheg
ثمانية عشر,Osamnaest godina,осемнадесет,divuit anys,十八岁,十八歲,osamnaest godina,osmnáct,atten,achttien,eighteen,kaheksateist,kahdeksantoista,dix-huit ans,achtzehn Jahre alt,δεκαοκτώ ετών,dizwit,שמונה עשרה,अठारह,kaum yim,tizennyolc,delapan belas,diciotto anni,18 歳,18,eighteen,,18,astoņpadsmit gadu,aštuoniolikos metų,lapan belas,tmintax,waxaklajuntúul ja'ab,atten,ma hñäto ya je̲ya,هجده,18 lat,dezoito anos,optsprezece ani,Восемнадцать,осамнаест година,osamnaest godina,osemnásť,osemnajst let,dieciocho años,arton,เอททีน,on sekiz,вісімнадцять,اٹھارہ,mười tám,deunaw oed
تسعة عشر,devetnaest,деветнадесет,dinou,二十世纪,二十世紀,Devetnaest,devatenáct,nitten,negentien,nineteen,üheksateist,yhdeksäntoista,dix-neuf,neunzehn,δεκαεννέα,diznèf,תשע עשרה,उन्नीस,kaum cuaj,tizenkilenc,sembilan belas,diciannove,19,kumi na tisa,nineteen,,19,deviņpadsmit,devyniolika,Sembilan belas,dsatax,19,nitten,19,نوزده,dziewiętnaście,dezenove,nouăsprezece,Девятнадцать,Деветнаест,Devetnaest,devätnásť,devetnajst,19,nitton,เก้า,On dokuz,дев'ятнадцять,انیس,mười chín,pedwar ar bymtheg
عشرون,Dvadeset,двадесет,vint,二十,二十,dvadeset,dvacet,tyve,twintig,twenty,kakskümmend,kaksikymmentä,vingt,zwanzig,είκοσι,ven,עשרים,बीस,nees nkaum,húsz,dua puluh,venti,20,ishirini,cha'maH,,20,divdesmit,dvidešimt,dua puluh,għoxrin,Jun k'aal,tjue,'na̲te,بیست,dwudziestu,vinte,douăzeci,двадцать,Двадесет,Dvadeset,dvadsať,dvajset,veinte,tjugo,ยี่สิบ,Yirmi,двадцять,بیس,hai mươi,ugain
إحدى وعشرون,Dvadeset i jednu,двадесет и един,vint anys,二十一岁,二十一歲,dvadeset i jednu,dvacet jedna,21,eenentwintig,twenty-one,kakskümmend üks,kaksikymmentäyksi,vingt et un ans,einundzwanzig,είκοσι ένα,-,עשרים ואחת,इक्कीस,twenty-One,huszonegy,dua puluh satu,ventuno,21,twenty-One,twenty-one,-,20,Acīte,dvidešimt,twenty-One,wieħed u għoxrin,veintiún,tjueen,veintiún,بیست و یک,dwadzieścia jeden,Vinte e um,douăzeci şi unu,21,Двадесет један,Dvadeset jedan,dvadsať,enaindvajset,veintiún,tjugoett,twenty-one,Yirmi bir,двадцять,twenty-one,21,21
اثنان وعشرون,22,двадесет и две,vint,二十二个,二十二個,dvadeset i dva,dvacet-dva,tyve-to,tweeëntwintig,twenty-two,kahekümne kahe,kaksikymmentäkaksi,vingt-deux,zweiundzwanzig,είκοσι δύο,venndezan,. עשרים ושתיים,बाईस,24,huszonkét,dua puluh dua,ventidue,20-2,ishirini na mbili,cha'maH cha' jIH,  ,20-2,divdesmit divi,dvidešimt du,dua puluh dua,tnejn u għoxrin,Jun k'aal yéetel ka'ap'éel,tjueto,'na̲te ne yoho,بیست و دو,dwadzieścia dwa,Vinte e dois,douăzeci şi doi,Двадцать два,Двадесет два,Dvadeset dva,dvadsať dva,dvaindvajset,veinte y dos,tjugotvå,ยี่สิบสอง,22 yaşında,двадцять два,بائیس,hai mươi hai,dau ar hugain
ثلاثة وعشرون,23,двадесет и три,dissortada,二十三,二十三,23,dvacet-tři,tyve-tre,drieëntwintig,twenty-three,kakskümmend kolm,kaksikymmentäkolme,vingt-trois,dreiundzwanzig,είκοσι τρεις,223,עשרים ושלוש,तेईस,NEESNKAUM peb,huszonhárom,dua puluh tiga,Ventitre,20-3,ishirini na tatu,cha'maH wej 'oH pa'lIj'e',   ,20-3,divdesmit trīs,dvidešimt trys,dua puluh tiga,Tlieta u g oxrin,Jun k'aal yéetel óoxp'éel,tjuetre,'na̲te ne hñu,بیست و سه,dwadzieścia trzy,Vinte e três,douăzeci şi trei,Двадцать три,Двадесет и три,Dvadeset i tri,dvadsať tri,dvajset-tri,veinte y tres,tjugotre,ยี่สิบสาม,Yirmi üç,двадцять три,تئیس,hai mươi ba,tri ar hugain
واحد وثلاثون,31,тридесет и един,trenta-un,三十一,三十一,Trideset i jedan,třicet-one,Enogtredive,Eenendertig,thirty-one,kolmkümmend üks,kolmekymmentäyksi,trente et un,Einunddreißig,τριάντα ένα,gen yon sèl,שלושים ואחת,इकतीस,PEBCAUG ib,harmincegy,tiga puluh satu,trentuno,30-1,thelathini na moja,wejmaHlogh-wa',-,30-1,trīsdesmit vienu,trisdešimt vienerių,tiga puluh satu,wieħed u tletin,treinta yéetel juntúule',trettien,Ar 'na̲te ma 're̲t'a ma 'naha,سی و یک,trzydzieści jeden,Trinta e um,treizeci şi unu,тридцать один,Тридесет један,Trideset jedan,Tridsať-one,enaintrideset,treinta y uno,trettioen,สามสิบเอ็ด,otuz bir,Тридцять один,اکتیس,ba mươi mốt,tri deg un
اثنين وانتشال,mentorskog i dva,thirthy-две,thirthy-dos,渴两,渴兩,mentorskog i dva,thirthy dva,thirthy-to,thirthy-twee,thirthy-two,thirthy-kaks,thirthy-kaksi,trente-deux,Thirthy-2,thirthy δύο,thirthy-de,thirthy-2,thirthy-दो,thirthy-2,akitől két,thirthy-dua,trent'-due,thirthy 2 つ,thirthy-mbili,thirthy wejmaH cha',  ,thirthy 2,divi thirthy,thirthy-2,thirthy-dua,thirthy tnejn,thirthy yéetel ka'ap'éel,thirthy-to,thirthy ne dos,thirthy و دو,thirthy dwa,Trinta e dois,thirthy-doi,thirthy 2,тхиртхy-2,thirthy-2,thirthy-dva,thirthy-dve,thirthy y dos,officiella-två,thirthy-2,thirthy-iki,thirthy два,تارٹہی دو,thirthy-2,thirthy a dau
واحد وأربعين,Bilo je 41,четиридесет един,quaranta-un,四十一个,四十一個,bilo je 41,čtyřicet jedna,fyrre-one,veertig-one,fourty-one,nelikümmend-üks,neljäkymmentä-yksi,quarante et un,vierzig-one,σαράντα ένα,yon fourty,ארבעים ואחת,fourty-एक,fourty-ib,hátralévő idő: még,empat puluh satu,quaranta-uno,fourty もの,fourty-moja,fourty-wa',-,fourty-하나,četrdesmit viena,fourty-vienas,meluluskan empat puluh-satu,Tlieta-one,teen ka'a k'aal yéetel juntúul,førti-en,yoho ya 'na̲te ya ne 'natho,محركه یک,czterdzieści jeden,Quarenta-um,patruzeci-unul,сорока один,фоуртy-један,fourty-jedan,štyridsať-jeden,štirideset-eno,cuarenta y uno,fyrtio-ett,โฟร์ตี้หนึ่ง,Kırk bir,Сорок один,فوورٹی سے ایک,Fourty-one,un fourty
اثنين وأربعين,Četrdeset i dva,четиридесет и две,quaranta-dos,四十两,四十兩,četrdeset i dva,čtyřicet dva,fyrre-to,veertig-twee,fourty-two,nelikümmend kaks,neljäkymmentä kaksi,quarante-deux,zwei und vierzig,σαράντα δύο,fourty-de,ארבעים ושתיים,fourty-दो,fourty-2,hátralévő idő: még,empat puluh-dua,quaranta-due,42 選,fourty-mbili,fourty wejmaH cha',  ,fourty-두,četrdesmit divas,fourty-dvi,meluluskan empat puluh dua,tnejn u tlieta,teen ka'a k'aal yéetel ka'ap'éel,førti-to,yoho ya 'na̲te ya ne yoho,محركه و دو,czterdzieści dwa,Quarenta e dois,doi patruzeci,сорок два,фоуртy-2,fourty-2,štyridsať dva,Štirideset dva,cuarenta y dos,fyrtio-två,โฟร์ตี้สอง,kırk iki,сорок два,فوورٹی دو,Fourty-two,fourty a dau
خمسون,Pedeset,петдесет,cinquanta,五十,五十,pedeset,padesát,50,vijftig,fifty,viiskümmend,viisikymmentä,cinquante,fünfzig,πενήντα,senkant,חמישים,पचास,tsib caug,ötven,lima puluh,cinquanta,50,hamsini,fifty,,50,piecdesmit,penkiasdešimt,lima puluh,amsin,cincuenta,femti,kut'a,پنجاه,pięćdziesięciu,Cinqüenta,cincizeci,пятьдесят,Педесет,Pedeset,päťdesiat,petdeset,cincuenta,femtio,ห้าสิบ,elli,п'ятдесят,پچاس,năm mươi,hanner can
واحد وخمسون,pedeset i jedan,петдесет и един,cinquanta-un,五十岁的人,五十歲的人,Pedeset i jedan,padesát jedna,fifty-one,eenenvijftig,fifty-one,viiskümmend üks,viisikymmentäyksi,cinquante et un,einundfünfzig,πενήντα μία,gen yon sèl,לאחר חמישים ואחת,पचास एक,TSIBCAUG ib,ötvenegy,lima puluh satu,cinquantuno,50-1,hamsini na moja,fifty-wa',-,50-1,piecdesmit viens,penkiasdešimt vienas,lima puluh satu,-wieħed u ħamsin,cincuenta yéetel juntúule',51,kut'a ne 'natho,پنجاه و یک,pięćdziesiąt jeden,cinquenta e um,cincizeci şi unu,пятьдесят один,-51,-51,Päťdesiat jedna,enainpetdeset,cincuenta y uno,femtioen,สิบ,elli bir,п'ятдесят один,پچاس سے ایک,năm mươi mốt,pum deg un
اثنان وخمسون,52,петдесет и две,cinquanta-dos,五十二个,五十二個,52,padesát dva,fifty-to,tweeënvijftig,fifty-two,viiskümmend kaks,viisikymmentäkaksi,cinquante-deux,zweiundfünfzig,πενήντα-δύο,senkannde,חמישים ושתיים,बावन,TSIBCAUG ob,ötvenöt,lima puluh dua,cinquantadue,50-2,hamsini na mbili,fifty wejmaH cha',  ,50-2,piecdesmit divi,penkiasdešimt du,lima puluh dua,tnejn u amsin,cincuenta yéetel ka'ap'éel,52,kut'a ne yoho,پنجاه و دو,pięćdziesiąt dwa,cinquenta e dois,cincizeci şi doi,пятьдесят два,52,52,päťdesiat-dve,Fifty-dva,cincuenta y dos,52,ห้าสิบสอง,elli iki,п'ятдесят і два,۵۲,năm mươi hai,hanner cant a dau
ستين,Šezdeset,шестдесет,seixanta,六十,六十,šezdeset,šedesát,Tres,zestig,sixty,kuuskümmend,kuusikymmentä,soixante,sechzig,εξήντα,swasant,שישים,साठ,rau caum,hatvan,enam puluh,sessanta,60,sitini,sixty,,60,sešdesmit,šešiasdešimt,enam puluh,sittin,sesenta,seksti,sesenta,شصت,sześćdziesięciu,sessenta,şaizeci,шестьдесят,60,60,šesťdesiat,šestdeset,sesenta,sextio,หกสิบ,altmış,шістдесят,ساٹھ,Sáu mươi,chwe deg
واحد وستون,Šezdeset i jedan,шестдесет и една,seixanta-un,其中有六十一,其中有六十一,šezdeset i jedan,šedesát jedna,Sixty-one,Eenenzestig,sixty-one,kuuskümmend üks,Kuusikymmentä yksi,soixante et un,Einundsechzig,εξήντα ένα,gen yon sèl,שישים ואחת,साठ के एक,RAUCAUM ib,hatvanegy,enam puluh satu,Sessantuno,60-1,sitini na moja,sixty-wa',-,60-1,sešdesmit viens,šešiasdešimt vienas,enam puluh-satu,wieħed u sittin,sesenta yéetel juntúule',trettiåtte,sesenta ma 're̲t'a ma 'naha,شصت و یک,sześćdziesiąt jeden,sessenta e um,şaizeci şi unu,шестьдесят один,Шездесет један,Šezdeset jedan,šesťdesiat-jeden,šestdeset-eno,sesenta y uno,Sextioett,หกสิบหนึ่ง,Altmış bir,Шістдесят один,اکسٹھ-,Sáu mươi mốt,chwe deg un
اثنان وستون,62,шестдесет и две,seixanta-dos,六十二个,六十二個,šezdeset dva,Šedesát dva,62,tweeënzestig,sixty-two,kuuskümmend kaks,kuusikymmentäkaksi,soixante-deux,zweiundsechzig,εξήντα δύο,swasant-de,שישים ושתיים,साठ-दो,RAUCAUM ob,hatvannégy,enam puluh dua,sessantadue,60-2,sitini na mbili,sixty wejmaH cha',  ,69-2,sešdesmit divi,šešiasdešimt du,enam puluh dua,tnejn u sittin,sesenta yéetel ka'ap'éel,seksti-to,sesenta ne yoho,شصت و دو,sześćdziesiąt dwa,sessenta e dois,şaizeci şi două,шестьдесят два,62,62,Šesťdesiat-dva,dvainšestdeset,sesenta y dos,62,หกสิบสอง,Altmış iki,шістдесят два,باسٹھ-,Sáu mươi hai,chwe deg dau
سبعين,sedamdeset,седемдесет,setanta,七十,七十,Sedamdeset,sedmdesát,Halvfjerds,zeventig,seventy,seitsekümmend,seitsemänkymmentä,soixante-dix,siebzig,εβδομήντα,swasant dis,שבעים,सत्तर,XYACAUM,hetven,tujuh puluh,Settanta,70,sabini,seventy,,70,septiņdesmit,septyniasdešimt,tujuh puluh,70,setenta,sytti,setenta,هفتاد,siedemdziesiąt,setenta,şaptezeci,Семьдесят,Седамдесет,Sedamdeset,sedemdesiat,sedemdeset,setenta,sjuttio,เจ็ดสิบ,Yetmiş,сімдесят,ستر,Bảy mươi,saith deg
واحد وسبعون,71,седемдесет и един,setanta-un,有 71 个,有 71 個,Sedamdeset i jedan,sedmdesát jedna,Halvfjerds-one,eenenzeventig,seventy-one,seitsekümmend üks,yksi,soixante et onze,71,εβδομήντα ένα,swasanndis yon,. שבעים ואחד,सत्तर-एक,XYACAUM ib,hetvenöt,tujuh puluh satu,settantuno,70-1,sabini na moja,seventy-wa',-,70-1,septiņdesmit viens,septyniasdešimt vienas,tujuh puluh-satu,wieħed u sebgħin,setenta yéetel juntúule',sytti-ettall,setenta ma 're̲t'a ma 'naha,هفتاد و یک,siedemdziesiąt jeden,Setenta e um,şaptezeci-o,Семьдесят один,71,71,Sedemdesiat jeden,sedemdeset-eno,setenta y uno,71,60,yetmiş bir,сімдесят один,اکھتر-,Bảy mươi mốt,saith deg un
اثنان وسبعون,sedamdeset i dva,седемдесет и два,setanta-dues,七十二岁,七十二歲,72,sedmdesát-dva,Halvfjerds-to,tweeënzeventig,seventy-two,72,seitsemänkymmentäkaksi,soixante-douze,zweiundsiebzig,εβδομήντα δύο,372,שבעים ושתיים,बहत्तर,XYACAUM ob,hetvenkét,tujuh puluh dua,settanta-due,70-2,sabini na mbili,seventy wejmaH cha',  ,70-2,septiņdesmit divi,72,tujuh puluh dua,tnejn u sebgħin,setenta yéetel ka'ap'éel,syttito,setenta ne yoho,هفتاد و دو,siedemdziesięciu dwóch,Setenta e dois,şaptezeci şi doi,Семьдесят два,72,72,Sedemdesiat dva,72,setenta y dos,72,สิบสอง,72,сімдесят два,دونوں,Bảy mươi hai,saith deg dau
ثمانين,Osamdeset,осемдесет,vuitanta,八十,八十,osamdeset,osmdesát,Firs,tachtig,eighty,kaheksakümmend,kahdeksankymmentä,quatre-vingts,achtzig,ογδόντα,katreven,שמונים,अस्सी,yim caum,nyolcvan,delapan puluh,ottanta,80,themanini,eighty,,80,astoņdesmit,aštuoniasdešimt,lapan puluh,tmenin,ochenta,åtti,ochenta,هشتاد,osiemdziesiąt,oitenta,optzeci,восьмидесяти,Осамдесет,Osamdeset,osemdesiat,osemdeset,ochenta,åttio,แปดสิบ,seksen,вісімдесят,۸۰,Tám mươi,wyth deg
واحد وثمانون,-Direktore,осемдесет и един,vuitanta-un,八十一个,八十一個,-Direktore,osmdesát jedna,Eighty-one,eenentachtig,eighty-one,kaheksakümne-one,kahdeksankymmentä-one,quatre-vingt-un,einundachtzig,ογδόντα ένα,katreven yon,שמונים ואחד,अस्सी-एक,eighty-ib,nyolcvanegy,delapan puluh satu,Ottantuno,80-1,themanini na moja,eighty-wa',-,80-1,astoņdesmit viens,aštuoniasdešimt,lapan puluh-satu,wieħed u tmenin,ochenta yéetel juntúule',åtti-en,ochenta ma 're̲t'a ma 'naha,هشتاد و یک,osiemdziesiąt jeden,oitenta e um,optzeci şi unu,восемьдесят один,-81,-81,osemdesiat jeden,enainosemdeset,ochenta y uno,åttioen,แปดสิบวัน,seksen-bir,вісімдесят один,اکیاسی-,81,wyth deg un
اثنان وثمانون,osamdeset i dva,осемдесет и две,vuitanta-dos,八十二岁,八十二歲,osamdeset i dva,osmdesát dva,Eighty-to,tweeëntachtig,eighty-two,kaheksakümne,Kahdeksankymmentäkaksi,quatre-vingt-deux,zweiundachtzig,ογδόντα δύο,katreven-de,82,बयासी,eighty-2,nyolcvankét,delapan puluh dua,ottantadue,80-2,themanini na mbili,eighty wejmaH cha',  ,80-2,astoņdesmit divi,aštuoniasdešimt dvejų,lapan puluh dua,tnejn u tmenin,ochenta yéetel ka'ap'éel,åttito,ochenta ne yoho,هشتاد و دو,Regio-,oitenta e dois,optzeci şi doi,восемьдесят два,82,82,osemdesiat dva,Dvainosemdesetega-,ochenta y dos,åttiotvå,แปดสิบสอง,seksen iki,вісімдесят два,-بیاسی,Tám mươi hai,wyth deg dau
تسعين,Devedeset,деветдесет,noranta,九十岁,九十歲,devedeset,devadesát,halvfems,negentig,ninety,üheksakümmend,yhdeksänkymmentä,quatre vingt dix,neunzig,ενενήντα,katrevendis,תשעים,नब्बे,cuaj caum,kilencven,sembilan puluh,novant'anni,90 歳,tisini,ninety,,90,deviņdesmit,devyniasdešimt,90,disgħin,noventa,nitti,gu̲to ya 're̲t'a ma,نود,dziewięćdziesiąt,noventa anos,nouăzeci de ani,девяносто,90,90,deväťdesiat,devetdeset,noventa,nittio,ninety,doksan,дев'яносто,نوے,chín mươi,nawdeg
واحد وتسعون,Devedeset i jedan,деветдесет-един,noranta-un,九十一岁,九十一歲,91,devadesát jedna,halvfems-one,eenennegentig,ninety-one,üheksakümne esimese,Ninety-oni,quatre-vingt-onze,einundneunzig,ενενήντα ένα,katrevendiznèf yon,תשעים ואחד,नब्बे-एक,CUAJCAUM ib,kilencven,sembilan puluh satu,novantuno,90-1,tisini na moja,ninety-wa',-,90-1,deviņdesmit vienu,devyniasdešimt vienas,sembilan puluh satu,disgħin wieħed,noventa yéetel juntúule',Ninety-en,gu̲to ya 're̲t'a ma ne 'natho,نود و یک,dziewięćdziesiąt jeden,noventa e um,91 de ani,Девяносто один,Деведесет и један,Devedeset i jedan,deväťdesiat jedna,-eno,noventa y uno,91,เก้าสิบเอ็ด,doksan bir,дев'яносто один,نوے سے ایک,chín mươi mốt,naw deg un
اثنين وتسعين,92,деветдесет и две,noranta-dos,九十二岁,九十二歲,92,devadesát dva,halvfems-to,tweeënnegentig,ninety-two,üheksakümne,yhdeksänkymmentä kaksi,quatre-vingt-douze,zweiundneunzig,ενενήντα δύο,392,תשעים ושתיים,नब्बे--दो,CUAJCAUM ob,kilencvenöt,sembilan puluh dua,novantadue,90-2,tisini na mbili,ninety wejmaH cha',  ,90-2,deviņdesmit divi,devyniasdešimt du,sembilan puluh dua,tnejn u disgħin,noventa yéetel ka'ap'éel,nittito,gu̲to ya 're̲t'a ma ne yoho,نود و دو,Dziewięćdziesiąt dwa,noventa e dois,nouăzeci şi doi,Девяносто два,Деведесет два,Devedeset dva,deväťdesiat dva,dvaindevetdeset,noventa y dos,nittiotvå,เก้าสิบสอง,92,дев'яносто два,۹۲,chín mươi hai,naw deg dau
مائة,stotinu,Сто,cent,一百,一百,stotinu,Sto,Et hundrede,Honderd,one hundred,Sada,Sata,Cent,Einhundert,Εκατό,san,מאה,सौ,ib puas,száz,Seratus,Cento,100,Mia moja,wa'vatlh,,100,viens simts,šimtas,seratus,mija,Taj ya'ab,hundre,'Nar montón,یکصد,Sto,Cem,o sută,Сто,стотину,stotinu,sto,sto,Un montón,Ett hundra,หนึ่งร้อย,Yüz,Сто,ايک سو,Một trăm,cant
